module_age_years,Fixed_25,Early_Loss,Regular_Loss
1,0.0,0.005,1.145892425391537e-08
2,0.0,0.005,4.6437006473443176e-07
3,0.0,0.0020224771079998755,3.7323973106628827e-06
4,0.0,0.003325107976765068,1.5550268800179623e-05
5,0.0,0.004814060453289096,4.5814112399900075e-05
6,0.0,0.0064549510966803985,0.00010915808922862258
7,0.0,0.008218559114559904,0.00022541623835314883
8,0.0,0.010077941814366878,0.00041999148287164
9,0.0,0.01200712239617572,0.0007241222327839525
10,0.0,0.013980483194018532,0.0011750116204927163
11,0.0,0.015972530997719427,0.0018157575559186734
12,0.0,0.01795788253383391,0.0026949914936869046
13,0.0,0.019911390839658802,0.0038661002802986566
14,0.0,0.021808365687995865,0.005385870807754989
15,0.0,0.02362485681288137,0.007312365907499285
16,0.0,0.025337976612586032,0.009701819548595836
17,0.0,0.026926243258196828,0.012604341438784528
18,0.0,0.028369927609675497,0.01605826146383804
19,0.0,0.02965138900192484,0.020083043029856196
20,0.0,0.030755386329264105,0.024670873437736995
21,0.0,0.0316693522130971,0.029777318649453655
22,0.0,0.03238361953807157,0.035311818309096354
23,0.0,0.032891591359071735,0.041129280733452234
24,0.0,0.03318984713295868,0.047024563995587076
25,1.0,0.03327818039429867,0.05273209055943773
26,0.0,0.03315956532409661,0.05793306764774131
27,0.0,0.03284005208469632,0.06227254730971021
28,0.0,0.03232859322847593,0.06538761901306678
29,0.0,0.031636805840964226,0.0669462140458773
30,0.0,0.030778676257241466,0.0666933413299351
31,0.0,0.029770216104834733,0.06449842848535592
32,0.0,0.028629079997467336,0.06039459105681044
33,0.0,0.027374156367069254,0.05459924096314539
34,0.0,0.02602514362992818,0.04750669078559633
35,0.0,0.024602124111542948,0.03964807288021199
36,0.0,0.023125147901018217,0.03162163708952104
37,0.0,0.021613838090199077,0.024005476397860437
38,0.0,0.020087027717184493,0.017271821144207666
39,0.0,0.018562437239837835,0.011723885304705028
40,0.0,0.01705639958933685,0.007470958585797383
41,0.0,0.015583637884985973,0.004446068885223808
42,0.0,0.014157098823743648,0.0024572478780404694
43,0.0,0.012787842686548263,0.0012537835018405774
44,0.0,0.01148498891953769,0.000586908954902543
45,0.0,0.010255714433779227,0.0002503854258110172
46,0.0,0.009105300191210754,9.66697111917103e-05
47,0.0,0.00803722036035615,3.3527471432481804e-05
48,0.0,0.007053267368206035,1.0364648536653753e-05
49,0.0,0.006153705561069228,2.832630292992633e-06
50,0.0,0.00533744591558582,6.785216870586197e-07
51,0.0,0.004602234293003248,1.4117142788094839e-07
52,0.0,0.003944846072523586,2.527075304570303e-08
53,0.0,0.00336128058881207,3.8535378221737915e-09
54,0.0,0.0028469495825987536,4.953926158179911e-10
55,0.0,0.0023968547953234576,5.3107629405246826e-11
56,0.0,0.0020057508418771038,4.693911925812699e-12
57,0.0,0.0016682905250284127,3.3795188869589765e-13
58,0.0,0.0013791507616468899,1.965094753586527e-14
59,0.0,0.0011331382321757126,8.881784197001252e-16
60,0.0,0.0009252747075557497,0.0
61,0.0,0.0007508627279679677,0.0
62,0.0,0.0006055328908600023,0.0
63,0.0,0.0004852744462831073,0.0
64,0.0,0.00038645119804301743,0.0
65,0.0,0.0003058048787432811,0.0
66,0.0,0.00024044821968862521,0.0
67,0.0,0.0001878498906021463,0.0
68,0.0,0.00014581335885357889,0.0
69,0.0,0.00011245153360104215,0.0
70,0.0,8.615883640913058e-05,0.0
71,0.0,6.558209433131211e-05,0.0
72,0.0,4.959139964315124e-05,0.0
73,0.0,3.725183508842645e-05,0.0
74,0.0,2.7796734497890873e-05,0.0
75,0.0,2.0602942861328584e-05,0.0
76,0.0,1.5168361686001349e-05,0.0
77,0.0,1.1091916682847037e-05,0.0
78,0.0,8.055965506126577e-06,0.0
79,0.0,5.811071950703761e-06,0.0
80,0.0,1.390019214913764e-05,0.0
